dataset_type,imbalance_ratio,model,strategy,f1_minority_mean,f1_minority_std,roc_auc_mean,roc_auc_std,recall_minority_mean,recall_minority_std,precision_minority_mean,precision_minority_std
control,100:1,baseline,N/A,0.7650273224043715,,0.8641961970613656,,0.7865168539325843,,0.7446808510638298,
control,100:1,ctgan,Naive Oversampling,0.7783783783783784,,0.8636019878997407,,0.8089887640449438,,0.75,
control,100:1,tvae,Naive Oversampling,0.7783783783783784,,0.8691659464131374,,0.8089887640449438,,0.75,
control,10:1,baseline,N/A,0.7741935483870968,,0.8682476231633534,,0.8089887640449438,,0.7422680412371134,
control,10:1,ctgan,Naive Oversampling,0.7717391304347826,,0.8688418323249785,,0.797752808988764,,0.7473684210526316,
control,10:1,tvae,Naive Oversampling,0.7978723404255319,,0.8653305963699223,,0.8426966292134831,,0.7575757575757576,
control,1:1,baseline,N/A,0.8020833333333334,,0.8685717372515126,,0.8651685393258427,,0.7475728155339806,
control,1:1,ctgan,Naive Oversampling,0.7958115183246073,,0.871218668971478,,0.8539325842696629,,0.7450980392156863,
control,1:1,tvae,Naive Oversampling,0.8125,,0.8747839239412274,,0.8764044943820225,,0.7572815533980582,
control,20:1,baseline,N/A,0.7675675675675676,,0.8652765773552291,,0.797752808988764,,0.7395833333333334,
control,20:1,ctgan,Naive Oversampling,0.7700534759358288,,0.8701923076923077,,0.8089887640449438,,0.7346938775510204,
control,20:1,tvae,Naive Oversampling,0.7741935483870968,,0.8673833189282627,,0.8089887640449438,,0.7422680412371134,
control,50:1,baseline,N/A,0.782608695652174,,0.866843128781331,,0.8089887640449438,,0.7578947368421053,
control,50:1,ctgan,Naive Oversampling,0.7650273224043715,,0.8672752808988764,,0.7865168539325843,,0.7446808510638298,
control,50:1,tvae,Naive Oversampling,0.782608695652174,,0.8652225583405359,,0.8089887640449438,,0.7578947368421053,
control,5:1,baseline,N/A,0.7593582887700535,,0.8643582541054453,,0.797752808988764,,0.7244897959183674,
control,5:1,ctgan,Naive Oversampling,0.7619047619047619,,0.863710025929127,,0.8089887640449438,,0.72,
control,5:1,tvae,Naive Oversampling,0.7731958762886598,,0.863061797752809,,0.8426966292134831,,0.7142857142857143,
imbalanced,100:1,baseline,N/A,0.12631578947368421,,0.7437878133102853,,0.06741573033707865,,1.0,
imbalanced,100:1,ctgan,Naive Oversampling,0.08602150537634409,,0.7541594641313741,,0.0449438202247191,,1.0,
imbalanced,100:1,tvae,Naive Oversampling,0.5906040268456376,,0.8011019878997407,,0.4943820224719101,,0.7333333333333333,
imbalanced,10:1,baseline,N/A,0.6131386861313869,,0.8791594641313742,,0.47191011235955055,,0.875,
imbalanced,10:1,ctgan,Naive Oversampling,0.5547445255474452,,0.8434528954191876,,0.42696629213483145,,0.7916666666666666,
imbalanced,10:1,tvae,Naive Oversampling,0.7236842105263158,,0.8841832324978393,,0.6179775280898876,,0.873015873015873,
imbalanced,1:1,baseline,N/A,0.7916666666666666,,0.8735414866032843,,0.8539325842696629,,0.7378640776699029,
imbalanced,1:1,ctgan,Naive Oversampling,0.7916666666666666,,0.8735414866032843,,0.8539325842696629,,0.7378640776699029,
imbalanced,1:1,tvae,Naive Oversampling,0.7916666666666666,,0.8735414866032843,,0.8539325842696629,,0.7378640776699029,
imbalanced,20:1,baseline,N/A,0.496,,0.8312445980985306,,0.34831460674157305,,0.8611111111111112,
imbalanced,20:1,ctgan,Naive Oversampling,0.3302752293577982,,0.7559420916162489,,0.20224719101123595,,0.9,
imbalanced,20:1,tvae,Naive Oversampling,0.6388888888888888,,0.8799697493517719,,0.5168539325842697,,0.8363636363636363,
imbalanced,50:1,baseline,N/A,0.3177570093457944,,0.80023768366465,,0.19101123595505617,,0.9444444444444444,
imbalanced,50:1,ctgan,Naive Oversampling,0.2692307692307692,,0.7871110630942092,,0.15730337078651685,,0.9333333333333333,
imbalanced,50:1,tvae,Naive Oversampling,0.7058823529411765,,0.8710025929127052,,0.6067415730337079,,0.84375,
imbalanced,5:1,baseline,N/A,0.6967741935483871,,0.883480985306828,,0.6067415730337079,,0.8181818181818182,
imbalanced,5:1,ctgan,Naive Oversampling,0.6928104575163399,,0.8801318063958512,,0.5955056179775281,,0.828125,
imbalanced,5:1,tvae,Naive Oversampling,0.7228915662650602,,0.8610630942091617,,0.6741573033707865,,0.7792207792207793,
